feature,mean_abs_shap
OverallQual_TotalSF,0.0319345235945686
OverallQual_GrLivArea,0.02810631653076651
OverallQual,0.026845679965180974
TotalSF,0.02665437437160625
OverallCond,0.02612429236046004
GrLivArea,0.021328287306936818
TotalBath,0.02054859230045104
HouseAge,0.017616305878591015
YearBuilt,0.01370763136771198
LotArea,0.013607300523464675
BsmtFinSF1,0.013598366197651722
TotalBsmtSF,0.013047087835161595
GarageArea,0.011637619464017198
YearRemodAdd,0.011536254756889608
GarageCars,0.011126509383162357
YearsSinceRemod,0.009929566086556943
ExterQual_TA,0.009842174243946391
HasFireplace,0.00948547502788994
1stFlrSF,0.009428062954691379
TotalPorchSF,0.009371215810948214
