model,stress_family,mean_delta_rmse,mean_delta_mae,mean_delta_r2
GB_Baseline,feature_ablation,0.007386491066539459,0.006315641088399965,-0.011429167342157784
GB_Baseline,feature_noise,-0.00011258416262984368,6.924776155777894e-05,0.00016545678924787902
GB_Baseline,target_corruption,-4.7315515527994456e-05,-0.0001306246276104317,6.935890099157849e-05
GB_FeatureMask,feature_ablation,0.007581290283075155,0.005704114156970562,-0.01194179357295951
GB_FeatureMask,feature_noise,-0.00019108477164986315,1.4202120597328616e-05,0.00028604365801310205
GB_FeatureMask,target_corruption,-4.7124680446604394e-05,9.962910282685505e-05,7.056650690945299e-05
GB_NoiseAug,feature_ablation,0.008001459786745541,0.006116132771587517,-0.012427947218072166
GB_NoiseAug,feature_noise,0.000885961407640338,0.0005574320320581352,-0.0013221376616731433
GB_NoiseAug,target_corruption,-0.00020653496959056883,-0.00022451486191474995,0.00030483546953297136
GB_NoisePlusFeatureMask,feature_ablation,0.0027841629623545036,0.0035053874895345644,-0.004564147477857827
GB_NoisePlusFeatureMask,feature_noise,0.0008423393883336497,0.0008782284588259396,-0.001323822994874213
GB_NoisePlusFeatureMask,target_corruption,-0.0006620964696141887,-0.000259251969713048,0.001032912150052745
