test,base_rmse,stressed_rmse,delta_rmse,base_mae,stressed_mae,delta_mae,base_r2,stressed_r2,delta_r2,model,stress_family
noise_0.01,0.11098313859827041,0.11090246044733064,-8.067815093977526e-05,0.07342733238299352,0.07345311833362557,2.5785950632045695e-05,0.9184046848437357,0.9185232716223236,0.00011858677858789246,GB_Baseline,feature_noise
noise_0.03,0.11098313859827041,0.11084234635598494,-0.00014079224228547016,0.07342733238299352,0.07343055997704162,3.2275940480969156e-06,0.9184046848437357,0.9186115757416777,0.00020689089794201365,GB_Baseline,feature_noise
noise_0.05,0.11098313859827041,0.11086685650360613,-0.00011628209466428563,0.07342733238299352,0.07360606212298672,0.0001787297399931942,0.9184046848437357,0.9185755775349495,0.00017089269121373096,GB_Baseline,feature_noise
drop_size,0.11098313859827041,0.1159121889113055,0.004929050313035088,0.07342733238299352,0.07915095045461656,0.005723618071623041,0.9184046848437357,0.9109960187291039,-0.007408666114631868,GB_Baseline,feature_ablation
drop_quality,0.11098313859827041,0.1260979676671054,0.01511482906883499,0.07342733238299352,0.08454009464690064,0.011112762263907117,0.9184046848437357,0.8946662869806878,-0.023738397863047878,GB_Baseline,feature_ablation
drop_age,0.11098313859827041,0.11309873241601871,0.0021155938177482986,0.07342733238299352,0.07553787531266326,0.002110542929669737,0.9184046848437357,0.9152642467949421,-0.0031404380487936034,GB_Baseline,feature_ablation
target_gaussian_0.03,0.11098313859827041,0.11076231123515315,-0.00022082736311726525,0.07342733238299352,0.07322806771638096,-0.00019926466661256137,0.9184046848437357,0.9187290683940834,0.0003243835503476955,GB_Baseline,target_corruption
target_subset_0.10,0.11098313859827041,0.11110933493033169,0.00012619633206127634,0.07342733238299352,0.07336534779438522,-6.198458860830203e-05,0.9184046848437357,0.9182190190953712,-0.00018566574836453853,GB_Baseline,target_corruption
noise_0.01,0.11176055754529592,0.11171080044530962,-4.975709998629452e-05,0.0744237205906719,0.07417171859478107,-0.00025200199589082983,0.9172575571564722,0.9173312165514966,7.365939502446128e-05,GB_NoiseAug,feature_noise
noise_0.03,0.11176055754529592,0.11241072607309179,0.0006501685277958691,0.0744237205906719,0.07466372958711678,0.00024000899644488483,0.9172575571564722,0.9162920463455878,-0.0009655108108843624,GB_NoiseAug,feature_noise
noise_0.05,0.11176055754529592,0.11381803034040736,0.0020574727951114397,0.0744237205906719,0.07610800968629225,0.0016842890956203505,0.9172575571564722,0.9141829955873126,-0.0030745615691595285,GB_NoiseAug,feature_noise
drop_size,0.11176055754529592,0.1188681892807965,0.00710763173550058,0.0744237205906719,0.08121272647040456,0.0067890058797326625,0.9172575571564722,0.9063985635803213,-0.010858993576150833,GB_NoiseAug,feature_ablation
drop_quality,0.11176055754529592,0.1261015017580475,0.014340944212751575,0.0744237205906719,0.08487296297301294,0.010449242382341045,0.9172575571564722,0.8946603826168898,-0.02259717453958232,GB_NoiseAug,feature_ablation
drop_age,0.11176055754529592,0.11431636095728039,0.0025558034119844697,0.0744237205906719,0.07553387064336074,0.0011101500526888436,0.9172575571564722,0.9134298836179888,-0.003827673538483345,GB_NoiseAug,feature_ablation
target_gaussian_0.03,0.11176055754529592,0.11122891294915939,-0.0005316445961365268,0.0744237205906719,0.073925791525777,-0.0004979290648949031,0.9172575571564722,0.9180428958206369,0.0007853386641647475,GB_NoiseAug,target_corruption
target_subset_0.10,0.11176055754529592,0.1118791322022513,0.00011857465695538916,0.0744237205906719,0.0744726199317373,4.889934106540317e-05,0.9172575571564722,0.9170818894313734,-0.0001756677250988048,GB_NoiseAug,target_corruption
noise_0.01,0.11308240575787377,0.11288902934968062,-0.00019337640819315494,0.07537770346527493,0.07530270571635703,-7.499774891790711e-05,0.9152887095239192,0.9155781826507399,0.00028947312682070514,GB_FeatureMask,feature_noise
noise_0.03,0.11308240575787377,0.11291324636953884,-0.0001691593883349357,0.07537770346527493,0.07542105167697004,4.33482116951045e-05,0.9152887095239192,0.9155419583315703,0.00025324880765109636,GB_FeatureMask,feature_noise
noise_0.05,0.11308240575787377,0.11287168723945228,-0.0002107185184214988,0.07537770346527493,0.07545195936428972,7.425589901478846e-05,0.9152887095239192,0.9156041185634867,0.00031540903956750466,GB_FeatureMask,feature_noise
drop_size,0.11308240575787377,0.11866157502727837,0.005579169269404591,0.07537770346527493,0.08105250997644003,0.005674806511165101,0.9152887095239192,0.9067236729870394,-0.008565036536879789,GB_FeatureMask,feature_ablation
drop_quality,0.11308240575787377,0.12821198421995045,0.015129578462076673,0.07537770346527493,0.08562323111647162,0.010245527651196684,0.9152887095239192,0.8911048689059988,-0.024183840617920338,GB_FeatureMask,feature_ablation
drop_age,0.11308240575787377,0.11511752887561798,0.002035123117744203,0.07537770346527493,0.07656971177382484,0.0011920083085499023,0.9152887095239192,0.9122122059598408,-0.0030765035640784033,GB_FeatureMask,feature_ablation
target_gaussian_0.03,0.11308240575787377,0.11309294676428226,1.0541006408487652e-05,0.07537770346527493,0.07540226627679633,2.45628115213975e-05,0.9152887095239192,0.9152729160170917,-1.579350682745506e-05,GB_FeatureMask,target_corruption
target_subset_0.10,0.11308240575787377,0.11297761539057208,-0.00010479036730169644,0.07537770346527493,0.07555239885940725,0.0001746953941323126,0.9152887095239192,0.9154456360445655,0.00015692652064636103,GB_FeatureMask,target_corruption
noise_0.01,0.11819027277474467,0.1188840224058497,0.0006937496311050367,0.07871325471977123,0.07938600114292281,0.0006727464231515851,0.9074631548248442,0.9063736266824407,-0.0010895281424034842,GB_NoisePlusFeatureMask,feature_noise
