price_group,count,rmse,mae,r2,model,base_rmse,rmse_gap_vs_overall
high,97,0.08185991950900547,0.06280440371708071,0.8589386133511143,GB_Baseline,0.11098313859827041,-0.02912321908926495
mid,96,0.08645040064760506,0.06415899174901411,0.1462351413044516,GB_Baseline,0.11098313859827041,-0.02453273795066535
low,98,0.1504024468360358,0.09302105464274421,0.6181838114615779,GB_Baseline,0.11098313859827041,0.03941930823776538
high,97,0.08234657404355922,0.06280324761256613,0.8572564172430469,GB_NoiseAug,0.11176055754529592,-0.0294139835017367
mid,96,0.08625649950361082,0.06463792249620116,0.15006069511443165,GB_NoiseAug,0.11176055754529592,-0.025504058041685096
low,98,0.15194998774801413,0.0955117052431765,0.6102861203525989,GB_NoiseAug,0.11176055754529592,0.040189430202718215
mid,96,0.08552080553731442,0.06449365830475046,0.1644973719081636,GB_FeatureMask,0.11308240575787377,-0.027561600220559354
high,97,0.09154828707604717,0.06850035488671759,0.8235726269170175,GB_FeatureMask,0.11308240575787377,-0.0215341186818266
low,98,0.15003772545516253,0.092846796807422,0.6200333515989556,GB_FeatureMask,0.11308240575787377,0.036955319697288755
mid,96,0.08469623990005043,0.0645944033270716,0.18053102690865286,GB_NoisePlusFeatureMask,0.11819027277474467,-0.03349403287469424
high,97,0.09521431271223453,0.07184620835971416,0.8091597416138211,GB_NoisePlusFeatureMask,0.11819027277474467,-0.02297596006251014
low,98,0.1596210747928067,0.09934094074655389,0.569944014852876,GB_NoisePlusFeatureMask,0.11819027277474467,0.04143080201806204
