feature,mean_abs_shap
OverallQual_TotalSF,0.0302229114778837
OverallQual_GrLivArea,0.028013731322335367
OverallQual,0.027716920599727156
TotalSF,0.026944330964887485
OverallCond,0.02515588088782378
TotalBath,0.022823911044915476
GrLivArea,0.021046798613482017
HouseAge,0.019237370607180664
YearBuilt,0.014290115458914048
TotalBsmtSF,0.013643567816090302
BsmtFinSF1,0.01359782324006184
LotArea,0.013498300766068403
YearRemodAdd,0.012706691575327276
GarageArea,0.012501759510082406
GarageCars,0.011577979515709446
ExterQual_TA,0.010876915549369849
HasFireplace,0.010746752827503859
KitchenQual_TA,0.010628332006389348
YearsSinceRemod,0.01042023264461483
1stFlrSF,0.010049307480742443
